ID,Name,ABV,Style,Is Retired
babLje,Sucks,8,North American Origin Ales,N
baONtD,Mad Hatter IPA,7,North American Origin Ales,N
BbrPm8,Buffalo Trace Aged Scotch Ale,11.1,British Origin Ales,N
BceaoL,Hummer,5.1,Belgian And French Origin Ales,N
BdlH6M,Beer Camp: Campout Porter,7.7,British Origin Ales,N
BEFupD,NxS IPA,9,North American Origin Ales,N
Beiqbm,Baltic Joy,7.4,Other Lager,N
bf76fr,Twin Peaks,5,North American Origin Ales,N
bFMDB3,Portsmouth Barleywine,11,North American Origin Ales,N
bHDV83,Dirty Blonde Ale,4.5,North American Origin Ales,N
bHmQdD,Crank Tank,5.8,Hybrid/mixed Beer,N
BJFSW8,Audition - Double IPA,8.5,North American Origin Ales,N
BJymUV,Bitter Oats,10.5,North American Origin Ales,N
Bk34Go,Vanilla Porter,5.4,British Origin Ales,N
bK4vxh,Blue Dream,6.4,North American Origin Ales,N
BKi6Ss,Yadig? Berliner Hopfenweissen,4.3,North American Origin Ales,N
BkSzxg,Cream Ale,5.9,British Origin Ales,N
BlcFcv,Dank Tank Magnum IP,9,European-germanic Lager,Y
blZIJW,Home Skillet,5.6,North American Origin Ales,N
bM2eLl,Red Between the Lines,6.2,North American Origin Ales,N
bMv56j,Brewery Lane Series: Biére De Garde,9,Belgian And French Origin Ales,N
bn1wGG,Hopivore,5.84,North American Origin Ales,N
bnURKM,Paleooza,4.4,North American Origin Ales,N
BnYgKN,Dragon's Milk Reserve with Vanilla Chai,11,North American Origin Ales,N
BoJHzM,Belgian Black IPA - Beer Camp #94,7.7,Belgian And French Origin Ales,N
bp7TkJ,HotSide Sour Mashed DayTime,4.65,Hybrid/mixed Beer,N
bpJ9u8,White Ale,4.8,Belgian And French Origin Ales,N
bQk5Rn,Budweiser Freedom Reserve,5.4,North American Lager,N
bqKaTO,Cran-Ber-Rita,8,Malternative Beverages,N
Bs70do,Mixxtail Long Island Iced Tea,8,Malternative Beverages,N
bSQyva,Beer Camp: Ginger Lager,6.2,North American Lager,N
bTNGkO,Experimental Hop Session IPA,4.6,North American Origin Ales,N
BUVVgt,Tropical Mama’s,5.3,North American Lager,N
bwmm73,Daytona Dark Wheat Lager (Batch No. 32218),5,North American Lager,N
bZ8hmu,Potato Schwarzbier,4.9,European-germanic Lager,N
BZGnql,Fusion 26,6.65,North American Origin Ales,N
Bzl1Jw,Solar Coaster,6.1,Hybrid/mixed Beer,N
bztkAM,Rhizing Bines,8,North American Origin Ales,Y
C0Ax0o,Holiday Haze,6.5,North American Origin Ales,N
c0okIY,Mad Catter,7,North American Origin Ales,N
c4f2KE,'Murican Pilsner,5.5,North American Lager,N
C7bzqV,Cranberry Kolsch,5,German Origin Ales,N
c9u7Eo,Guinness Generous Ale,5.6,Irish Origin Ales,N
cB7Dxt,Ovila Dubbel Barrel-Aged,10.8,Hybrid/mixed Beer,N
cByN2F,Otra Vez Gose With Lime & Agave,4.9,British Origin Ales,N
cBZj1z,Audition - English-Style Bitter,5.6,British Origin Ales,N
CD9BLy,Harmon Killerbrew,7.6,Irish Origin Ales,N
cdkpyx,Pale Ale,5.6,North American Origin Ales,N
ceP1Cs,Five Hop - Experimental IPA,5.8,North American Origin Ales,N
CEVOre,Mai-nd-Bockling,6,European-germanic Lager,N
cglNbC,Port Barrel Aged Biere De Garde,10.2,Belgian And French Origin Ales,N
Cj5RaA,Great Pumpkin,5.5,Hybrid/mixed Beer,N
cJvlzs,Octoberfest,5.2,European-germanic Lager,N
CJYncP,Vienna Lager,5.7,European-germanic Lager,N
CLsadV,Sans Souci,5.9,Belgian And French Origin Ales,N
CMvItN,Doppel Weizen,8.5,German Origin Ales,N
Cn8hSH,Fusion 23,7,North American Origin Ales,N
cOSoch,Dire Wolf,6.2,North American Origin Ales,N
coUX1m,Gubna,10,North American Origin Ales,N
cPLFNf,Tropical Lover,4.3,North American Origin Ales,N
CRw8Gu,Brown Eyed Buckeye,8.6,North American Origin Ales,N
CScss3,Yonder Bock - Beer Camp Across America,7.7,European-germanic Lager,N
ct0Hxz,Charkoota Rye,9.35,European-germanic Lager,N
ctjbwM,SweetWater Festive Ale,8.5,Hybrid/mixed Beer,N
CtLLsH,Coco Nuts,5,Belgian And French Origin Ales,N
CtqQJb,Imperial Hatter,9.4,North American Origin Ales,N
CU1fkx,Harvest Newly Developed Hop IPA (2015),6.5,North American Origin Ales,N
CU2xRZ,G'Knight (Breckenridge Whiskey Barrel Aged),8.7,North American Origin Ales,N
cvma3B,The Dogfather Imperial Stout - Bourbon Barrel,10.85,British Origin Ales,N
CwbQiB,Grand Royal,8.3,North American Origin Ales,N
CWqXDN,Fusion 16,4.8,Hybrid/mixed Beer,N
Cwuozg,Nitro Vanilla Porter (NVP),4.7,British Origin Ales,N
CWwxeR,Lucky 13,8.3,North American Origin Ales,N
cX0XkP,Fusion 34 Michiganja,6.7,British Origin Ales,N
cXEnHS,Tequila Barrel-Aged Ophelia,6.6,Hybrid/mixed Beer,N
CZn6nT,Pale Ale,5.6,North American Origin Ales,N
d16niD,Blindfold,7.4,North American Origin Ales,N
d2nhC0,Brown's Point ESB,5.6,British Origin Ales,N
D4I0lX,Stone Cold Peach,5.6,Belgian And French Origin Ales,N
Da2apu,Hurricane,5.9,North American Lager,N
dapUuF,Bigfoot (2016),9.6,North American Origin Ales,N
DbeLZF,All Colorado Wet Hop Pale Ale,5.8,North American Origin Ales,N
dbN8in,Imperial Pilsner - Beer Camp #43,5.6,North American Lager,N
DEojxv,Dank Tank Red Hot Mama,8.6,North American Origin Ales,N
dFaMLe,Dry-Hopped Censored Ale,6.7,Hybrid/mixed Beer,N
DGCFAD,Guinness Rye Pale Ale,5,Hybrid/mixed Beer,N
DGhJbX,Equinox,8.4,North American Origin Ales,N
dimtrs,Bud Light,4.2,North American Lager,N
DJcbV1,Bigfoot,9.6,North American Origin Ales,N
dlm9nV,Single Hop Citra IPL,5.5,North American Lager,N
dM2XzJ,Ovila Abbey Aged Dubbel,8.5,Belgian And French Origin Ales,N
DmCMSF,London Calling English Porter Cask,5.3,North American Origin Ales,N
dmVTls,Winter Saison,5.3,Belgian And French Origin Ales,N
Dn64tp,Experimental Hop Double IPA,8,North American Origin Ales,N
DNAmvo,LowRYEder IPA,6.2,Hybrid/mixed Beer,N
dNnIWw,Kate The Great Russian Imperial Stout,9.5,North American Origin Ales,N
dnUKxu,Chocolate Chili Stout - High Altitude Series,8.8,North American Origin Ales,N
dODEDo,Spruce Beersteen,6,North American Origin Ales,N
dqKU6w,Single Hop Cascade IPA,6.3,North American Origin Ales,N
DqTrrP,Lolo IPA,6.4,North American Origin Ales,N
DQW0WA,Belgian Crush,5.7,Belgian And French Origin Ales,N
dRGLDH,Peach-a-Rita,8,Malternative Beverages,N
dS0wsG,Mango Mosaic Pale Ale,5.5,North American Origin Ales,N
dS3WFU,Barrel Aged Chaka (Merlot),8,Belgian And French Origin Ales,N
DsrVwL,Hibiscus Strawberry Gose,4,German Origin Ales,N
dsVALR,Mischievous,5.5,Hybrid/mixed Beer,N
dTCluj,Fusion 40,8.5,North American Origin Ales,N
Du7C2e,Black Tulip,8.8,Belgian And French Origin Ales,N
DUmEEi,Green State Lager,4.9,North American Lager,N
Dvucvo,Bud Light Blends Lemon,3.5,Hybrid/mixed Beer,N
DvxCJ2,Barrel Aged Twenty Five,9.8,North American Origin Ales,N
DwfEan,Dragon's Milk Reserve: Raspberry Lemon,11,Hybrid/mixed Beer,N
DwGaaX,Lagunitas Undercover Investigation Shut-Down Ale,9.6,North American Origin Ales,N
Dwhny1,Ovila Abbey Quad with Plums,10.2,Belgian And French Origin Ales,Y
dWISHQ,Lagunator,7.9,North American Lager,N
e0bg5f,Six Rights IPA -  Beer Camp,8,North American Origin Ales,N
e4in1c,Kaliber,0.5,Hybrid/mixed Beer,N
E5i29p,Mandarina Bavaria,4.9,European-germanic Lager,N
E6kkPh,Black Mad Hatter India Pale Ale,5.56,North American Origin Ales,N
e9sjBk,21st Anniversary,7.9,Belgian And French Origin Ales,N
eBelPz,Stone Mill Organic Pale Ale,5.5,North American Origin Ales,N
EBgR2m,Choice Make Good,8.3,North American Origin Ales,N
EBlZnE,Zoomer,4.7,Hybrid/mixed Beer,N
EbwOyu,Pulled Porter,7.7,North American Origin Ales,N
ebYlhO,Eroica,7.4,Belgian And French Origin Ales,N
EcAeVx,Oktoberfest,6,European-germanic Lager,Y
eCmjOc,Pear Champagne,5.3,North American Origin Ales,N
Edea9J,Winter Ale,6.1,British Origin Ales,N
eEWCFd,Lucky U IPA,6.2,North American Origin Ales,N
ehb1eB,Country Pale Ale,5.1,North American Origin Ales,N
eI5fN2,New Dogtown Pale Ale,6.2,North American Origin Ales,N
eIZS7k,Harvest Ale,6.5,North American Origin Ales,Y
eJ0fVE,Tripel  Squared,9,Belgian And French Origin Ales,N
ej16Dh,The Carhartt Woodsman,4.4,North American Origin Ales,N
EkVPnE,Nitro Orange Cream Ale,5.5,Hybrid/mixed Beer,N
EO71ZO,Hoppy Saison,5,Belgian And French Origin Ales,N
eOVHdT,Audition - Scotch Ale,7.3,British Origin Ales,N
ep9tZr,Trip In the Woods: Rye Dunkelweizen,9.6,German Origin Ales,N
ePh6fw,Flipside Red IPA,6.2,North American Origin Ales,N
epip51,Long Steam IPA,5.8,North American Origin Ales,N
EpkUho,Imperial Plum IPA,9,North American Origin Ales,N
EqgmWc,Year of the Dog - Release #1,7.2,North American Origin Ales,N
ER2JSs,Bigfoot,9.6,North American Origin Ales,N
esFZwY,G'Knight Imperial Red IPA,8.7,Hybrid/mixed Beer,N
Esu28L,Murphy's Law Red Ale,5,Irish Origin Ales,N
etD9Ry,Mungo Berry,4.8,North American Origin Ales,N
ETtkIW,Bigfoot,9.6,North American Origin Ales,N
eueVi6,Beer Camp: Dunkle Weisse,5.7,German Origin Ales,N
eVgnFV,The Poet,5.2,British Origin Ales,N
eW9IJb,Budweiser Chelada,5,North American Lager,N
ExTe8O,Unfiltered Wheat Beer,4.4,Hybrid/mixed Beer,N
eXzIZz,TripleTail,5.5,North American Origin Ales,N
EyM4tM,Pumpkin Spice Latte : Nitro Series,5.5,North American Origin Ales,N
eyYenc,Bigfoot,9.6,North American Origin Ales,N
EzaTJ3,Runway IPA,6.2,International Ale Styles,N
f16hLl,Ruthlessly Delicious,6.2,North American Origin Ales,N
f5CWb6,"30th Anniversary - Charlie, Fred & Ken's Bock",8.3,European-germanic Lager,Y
fa0oqf,471 ESB - Extra Special Bitter,7.8,British Origin Ales,Y
FAIsfG,Guinness West Indies Porter,6,British Origin Ales,N
FbD1pJ,Taz IPA,6,North American Origin Ales,N
